acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
359212,,Slight,1,1,30/06/2012,Saturday,30,June,12,1,25,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",A,702,"Darkness: no street lighting","Fog (or mist if hazard)",Dry,None,None,"No overtaking",324760,673430,10254968,Junction,Pedestrian,355009,unset,EH12DA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.948,-3.20635"
359712,,Slight,2,1,30/06/2012,Saturday,30,June,12,15,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Multiple junction","Automatic Traffic Signal",C,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",319370,672660,0,Unset,T.V.N.P.,355010,unset,EH127UQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.94021,-3.2924"
359912,,Slight,2,2,28/06/2012,Thursday,28,June,12,19,35,230,A,900,"Dual carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,"Pedestrian in carriagway - not injured","No overtaking",326080,674430,520659,Junction,T.V.N.P.,355011,unset,EH13AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.95719,-3.1855"
360112,,Slight,1,1,30/06/2012,Saturday,30,June,12,2,20,230,A,702,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324780,673340,548964,Segment,S.V.N.P.,355012,unset,EH12EA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.94719,-3.206"
361212,,Slight,2,1,22/06/2012,Friday,22,June,12,18,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present",Unknown,Dry,None,None,"No overtaking",325930,671070,533410,Junction,Cyclist,355013,unset,EH93HU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.92698,-3.18697"
362112,,Slight,2,1,30/06/2012,Saturday,30,June,12,23,58,230,A,8,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Raining (without high winds)",Dry,None,None,"No overtaking",323300,673190,521289,Junction,T.V.N.P.,355014,unset,EH125JD,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94561,-3.22965"
364012,,Serious,1,1,02/07/2012,Monday,2,July,12,17,25,230,A,772,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",A,701,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",327190,670750,530071,Junction,Pedestrian,365775,unset,EH165TY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.9243,-3.16673"
364312,,Slight,5,3,29/06/2012,Friday,29,June,12,12,0,230,A,90,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",322010,674590,520044,Junction,M.V.N.P.,355015,unset,EH42AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95798,-3.25071"
366512,,Slight,2,1,03/07/2012,Tuesday,3,July,12,22,15,230,A,701,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit",Other,Dry,None,None,"No overtaking",327000,671340,529606,Junction,T.V.N.P.,365776,unset,EH165PF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92957,-3.16993"
367112,,Slight,2,1,03/07/2012,Tuesday,3,July,12,19,10,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326500,672680,522462,Junction,T.V.N.P.,365777,unset,EH89RB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Elsewhere,"55.94153,-3.17829"
367912,,Slight,3,2,03/07/2012,Tuesday,3,July,12,16,55,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",330100,667720,2579183,Segment,M.V.N.P.,365778,unset,EH181AT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89751,-3.11938"
368112,,Slight,1,1,03/07/2012,Tuesday,3,July,12,19,20,230,B,701,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325370,667970,2105978,Segment,S.V.N.P.,365779,unset,EH107DR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89904,-3.19507"
368312,,Slight,3,1,04/07/2012,Wednesday,4,July,12,17,20,230,C,,"Single carriageway - 2 lanes",30,Crossroads,"Stop sign",Unclassified,,"Daylight: street lighting unknown","Raining (without high winds)",Dry,None,None,"No overtaking",327030,675220,519900,Junction,M.V.N.P.,365780,unset,EH68RT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.96443,-3.1705"
368612,,Slight,2,1,05/07/2012,Thursday,5,July,12,1,49,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fog (or mist if hazard)",Dry,None,None,"No overtaking",322500,671330,562015,Segment,T.V.N.P.,365781,unset,EH141QH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92877,-3.24193"
370212,,Slight,2,1,05/07/2012,Thursday,5,July,12,7,45,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,"Road works present",None,"No overtaking",325380,675480,0,Unset,T.V.N.P.,365782,unset,EH74HF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.96651,-3.19699"
371912,,Slight,1,1,30/06/2012,Saturday,30,June,12,23,20,230,A,8,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit",Unknown,Dry,"Road works present",None,"No overtaking",325630,673940,521091,Junction,Cyclist,355016,unset,EH22EJ,"Control by other authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.95272,-3.19256"
372112,,Slight,2,1,06/07/2012,Friday,6,July,12,13,25,230,A,902,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",322480,674960,520062,Junction,T.V.N.P.,365783,unset,EH42NG,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.96138,-3.24329"
373212,,Slight,1,1,07/07/2012,Saturday,7,July,12,15,30,230,A,8,"Dual carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",325560,673930,521097,Junction,Bus,365784,unset,EH22DF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95262,-3.19368"
375212,,Slight,3,1,08/07/2012,Sunday,8,July,12,13,15,230,A,6095,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present",Other,Dry,None,None,"No overtaking",331180,671670,553921,Segment,M.V.N.P.,365785,unset,EH153HS,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.93315,-3.10313"
