acc_ref,beat_no,severity,no_vehicle,no_casualt,a_date,a_day,a_date_day,a_date_mon,a_date_yr,a_time_hr,a_time_min,loc_auth,road1_class,road1_no,road_type,speed_limi,junc_det,junc_ctrl,road2_class,road2_no,light_cond,weather,road_surf,spec_cond,cway_hzrds,ovrtk_patrn,easting,northing,net_id,net_type,acc_type,text_id,division,Postcode,ped_xing_hc,ped_xing_p,place_reported,Location
112,,Serious,1,1,01/01/2012,Sunday,1,January,12,2,0,230,Unclassified,,"Single carriageway - 2 lanes",60,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",314360,676710,0,Unset,S.V.N.P.,354345,unset,EH309UA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97571,-3.37387"
1612,,Slight,2,1,01/01/2012,Sunday,1,January,12,18,30,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fog (or mist if hazard)",Dry,None,None,"No overtaking",322870,676760,559676,Segment,T.V.N.P.,354346,unset,EH51LT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97761,-3.23756"
1712,,Slight,2,2,01/01/2012,Sunday,1,January,12,17,30,230,C,,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",322590,670360,529981,Junction,T.V.N.P.,354347,unset,EH141DW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.92007,-3.24021"
2212,,Slight,2,1,31/12/2012,Monday,31,December,12,20,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",320170,670110,0,Unset,Bus,363498,unset,EH142QE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91743,-3.27884"
2312,,Slight,3,1,31/12/2012,Monday,31,December,12,18,0,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",331550,667910,2579296,Segment,M.V.N.P.,363499,unset,EH221RT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89942,-3.09624"
2712,,Slight,2,1,02/01/2012,Monday,2,January,12,11,54,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326540,667070,2588155,Segment,T.V.N.P.,354348,unset,EH209NR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89114,-3.17612"
3312,,Slight,2,1,02/01/2012,Monday,2,January,12,18,40,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",326500,672680,522462,Junction,T.V.N.P.,354349,unset,EH89RB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94153,-3.17829"
3412,,Slight,1,1,03/01/2012,Tuesday,3,January,12,4,25,230,A,720,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",318920,669960,2579027,Segment,S.V.N.P.,354350,unset,EH142SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91588,-3.29879"
3612,,Serious,1,1,31/12/2012,Monday,31,December,12,17,43,230,A,8,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325820,673990,517891,Junction,Pedestrian,363500,unset,EH22EJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.9532,-3.18954"
3912,,Slight,1,1,03/01/2012,Tuesday,3,January,12,9,0,230,A,720,"Dual carriageway - 2 lanes",70,"Slip road","Give way sign or markings",A,720,"Daylight: no street lighting","Raining with high winds",Dry,None,None,"No overtaking",318780,670130,2581994,Junction,S.V.N.P.,354351,unset,EH142SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91738,-3.30108"
4012,,Slight,2,1,03/01/2012,Tuesday,3,January,12,9,0,230,Unclassified,,"Single carriageway - 3 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine with high winds",Dry,None,None,"No overtaking",312460,672770,0,Unset,T.V.N.P.,354352,unset,EH288SY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.93999,-3.40303"
5512,,Slight,2,2,01/01/2012,Sunday,1,January,12,3,30,230,C,,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",C,,"Darkness: no street lighting","Raining (without high winds)",Dry,None,None,"No overtaking",325290,674200,520521,Junction,Cyclist,354353,unset,EH21JX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.955,-3.19807"
5812,,Slight,3,1,03/01/2012,Tuesday,3,January,12,14,20,230,Motorway,8,"Dual carriageway - 2 lanes",70,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Raining with high winds",Dry,None,None,"No overtaking",312350,671220,6452164,Segment,M.V.N.P.,354354,unset,EH288LZ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92604,-3.40428"
6212,,Slight,1,1,04/01/2012,Wednesday,4,January,12,15,45,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Raining (without high winds)",Dry,None,None,"No overtaking",325440,674060,566552,Segment,Pedestrian,354355,unset,EH22PF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95377,-3.19563"
8312,,Fatal,3,1,05/01/2012,Thursday,5,January,12,7,45,230,A,70,"Single carriageway - 2 lanes",40,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",321410,670190,529969,Junction,Cyclist,354356,unset,EH142LU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Central refuge - no other controls","At scene","55.91836,-3.25903"
8512,,Slight,2,1,05/01/2012,Thursday,5,January,12,18,10,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",325940,676190,519232,Junction,Cyclist,354357,unset,EH64BT,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Central refuge - no other controls",Elsewhere,"55.97297,-3.18822"
8612,,Serious,2,1,05/01/2012,Thursday,5,January,12,2,7,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Darkness: street lights present and lit",Other,Dry,None,None,"No overtaking",323170,668670,0,Unset,T.V.N.P.,354358,unset,EH139QG,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.90499,-3.23045"
9712,,Slight,1,2,05/01/2012,Thursday,5,January,12,12,45,230,A,8,"One way Street",30,Crossroads,"Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324110,673230,521340,Junction,Pedestrian,354359,unset,EH112BQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.9461,-3.2167"
10812,,Slight,2,1,06/01/2012,Friday,6,January,12,21,28,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",322570,675720,0,Unset,Cyclist,354360,unset,EH44BB,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96821,-3.24207"
11112,,Slight,1,1,08/01/2012,Sunday,8,January,12,2,15,230,A,7,"Single carriageway - 2 lanes",30,"Other junction","Automatic Traffic Signal",C,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",325940,673630,521103,Junction,Pedestrian,354361,unset,EH11RU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.94998,-3.18752"
14412,,Slight,2,1,09/01/2012,Monday,9,January,12,13,25,230,A,702,"Single carriageway - 2 lanes",30,"Multiple junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324860,672520,533317,Junction,Cyclist,354362,unset,EH104HW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.93984,-3.20449"
15812,,Slight,2,1,10/01/2012,Tuesday,10,January,12,10,15,230,A,71,Roundabout,40,Roundabout,"Automatic Traffic Signal",A,71,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",318520,670340,2307039,Junction,T.V.N.P.,354363,unset,EH144AW,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.91922,-3.3053"
15912,,Serious,4,3,10/01/2012,Tuesday,10,January,12,8,10,230,A,701,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",B,701,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327380,668060,530284,Junction,M.V.N.P.,354364,unset,EH178AF,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.90016,-3.16296"
16112,,Slight,1,1,30/12/2012,Sunday,30,December,12,3,28,230,A,7,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",326080,673210,521583,Junction,Pedestrian,363501,unset,EH89DH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.94623,-3.18516"
17612,,Slight,2,2,09/01/2012,Monday,9,January,12,16,0,230,A,701,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327200,668530,570773,Segment,T.V.N.P.,354365,unset,EH166PG,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.90435,-3.16597"
18712,,Serious,1,1,09/01/2012,Monday,9,January,12,11,10,230,A,7,"Single carriageway - 2 lanes",30,"Other junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326000,673410,521589,Junction,Bus,354366,unset,EH89AA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.94801,-3.1865"
19912,,Slight,1,1,11/01/2012,Wednesday,11,January,12,16,4,230,A,904,Roundabout,30,Roundabout,"Automatic Traffic Signal",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",312470,677710,533311,Junction,Pedestrian,354367,unset,EH309XS,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.98436,-3.40447"
20012,,Slight,1,1,11/01/2012,Wednesday,11,January,12,18,20,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",328810,674760,523326,Junction,Bus,354368,unset,EH76NA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.96057,-3.14186"
20212,,Serious,3,1,11/01/2012,Wednesday,11,January,12,17,50,230,A,8,"Dual carriageway - 2 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",316830,672410,550809,Segment,M.V.N.P.,354369,unset,EH129BH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.93753,-3.33298"
20412,,Slight,1,1,11/01/2012,Wednesday,11,January,12,14,50,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",319220,672360,0,Unset,Pedestrian,354370,unset,EH127RL,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.93749,-3.29471"
20812,,Slight,1,1,11/01/2012,Wednesday,11,January,12,9,15,230,A,199,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327180,676510,519046,Junction,Pedestrian,354371,unset,EH66PR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97603,-3.16844"
21512,,Slight,2,1,12/01/2012,Thursday,12,January,12,14,0,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326810,674070,520701,Junction,T.V.N.P.,354372,unset,EH88DX,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95407,-3.17371"
22312,,Serious,2,1,12/01/2012,Thursday,12,January,12,15,45,230,A,70,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",320030,668750,561847,Segment,T.V.N.P.,354373,unset,EH145DH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.90519,-3.28068"
22912,,Serious,2,1,11/01/2012,Wednesday,11,January,12,8,22,230,A,902,"Dual carriageway - 2 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",318030,673530,566129,Segment,T.V.N.P.,354374,unset,EH128NH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.9478,-3.31411"
23012,,Serious,4,2,12/01/2012,Thursday,12,January,12,7,20,230,B,701,"Single carriageway - 2 lanes",30,Crossroads,"Automatic Traffic Signal",A,702,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324790,668250,533125,Junction,M.V.N.P.,354375,unset,EH107AR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.90147,-3.20442"
23212,,Serious,2,1,13/01/2012,Friday,13,January,12,10,15,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324590,676740,0,Unset,Cyclist,354376,unset,EH53JW,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.9777,-3.20999"
23612,,Slight,1,2,13/01/2012,Friday,13,January,12,10,0,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Automatic Traffic Signal",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",319350,672430,0,Unset,Pedestrian,354377,unset,EH127RP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.93814,-3.29265"
23912,,Slight,2,1,12/01/2012,Thursday,12,January,12,16,35,230,B,701,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",329100,668560,530260,Junction,T.V.N.P.,354378,unset,EH178NJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.90491,-3.13559"
24212,,Slight,2,1,13/01/2012,Friday,13,January,12,16,45,230,C,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Automatic Traffic Signal",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324730,672990,521433,Junction,Cyclist,354379,unset,EH39QG,"Control by other authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.94404,-3.2067"
28512,,Slight,2,2,15/01/2012,Sunday,15,January,12,15,15,230,A,1140,"Single carriageway - 2 lanes",30,"Using private drive or entrance","Give way sign or markings",Unclassified,,"Daylight: no street lighting",Other,Dry,None,None,"No overtaking",328810,674190,554894,Segment,T.V.N.P.,354380,unset,EH87BR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.95544,-3.14171"
28812,,Slight,2,1,15/01/2012,Sunday,15,January,12,22,35,230,A,702,Roundabout,40,Roundabout,"Give way sign or markings",A,702,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",324920,667520,2587173,Junction,T.V.N.P.,354381,unset,EH107DUA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Central refuge - no other controls","At scene","55.89493,-3.20214"
29112,,Slight,2,1,15/01/2012,Sunday,15,January,12,15,0,230,A,900,"Dual carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",326470,675000,558503,Segment,Cyclist,354382,unset,EH74PA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96237,-3.17941"
29312,,Slight,3,3,15/01/2012,Sunday,15,January,12,12,55,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",C,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",327880,668910,533107,Junction,M.V.N.P.,354383,unset,EH166QY,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.90787,-3.1552"
30012,,Slight,1,1,16/01/2012,Monday,16,January,12,11,5,230,Unclassified,,"Single carriageway - 2 lanes",30,"Multiple junction","Automatic Traffic Signal",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",325650,673940,521085,Junction,Pedestrian,354384,unset,EH22EJ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.95272,-3.19224"
30112,,Slight,1,2,16/01/2012,Monday,16,January,12,13,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",326040,673270,569288,Segment,Pedestrian,354385,unset,EH89DH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.94676,-3.18582"
30412,,Slight,1,1,16/01/2012,Monday,16,January,12,16,25,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",326970,674830,2106481,Segment,Pedestrian,354386,unset,EH75QA,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.96092,-3.17135"
31312,,Slight,4,2,17/01/2012,Tuesday,17,January,12,7,20,230,Motorway,9,"Dual carriageway - 2 lanes",60,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",313500,676120,0,Unset,M.V.N.P.,354387,unset,EH309SR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97026,-3.38746"
31812,,Slight,2,1,17/01/2012,Tuesday,17,January,12,11,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",319280,671140,9659691,Junction,T.V.N.P.,354388,unset,EH114HD,"Control by other authorised person","Pedestrian phase at traffic signal junction","At scene","55.92654,-3.29339"
32012,,Slight,2,1,17/01/2012,Tuesday,17,January,12,7,20,230,A,7,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",328980,670190,530122,Junction,T.V.N.P.,354389,unset,EH177SE,"Control by other authorised person","Pelican, puffin, toucan or similar non-junction pedestrian light crossing","At scene","55.91953,-3.13794"
32412,,Slight,1,1,12/01/2012,Thursday,12,January,12,8,3,230,A,8,"Single carriageway - 2 lanes",40,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",318460,672780,550652,Segment,Pedestrian,354390,unset,EH128LR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.94113,-3.307"
32712,,Slight,1,1,17/01/2012,Tuesday,17,January,12,21,35,230,C,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",327310,675740,2106436,Segment,Bus,354391,unset,EH67ES,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.96914,-3.16615"
33112,,Slight,2,1,04/01/2012,Wednesday,4,January,12,13,35,230,A,1,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Raining with high winds",Dry,None,None,"No overtaking",330070,672790,2106403,Segment,T.V.N.P.,354392,unset,EH151LE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.94305,-3.12117"
34612,,Slight,2,1,18/01/2012,Wednesday,18,January,12,9,32,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",321530,674380,520395,Junction,T.V.N.P.,354393,unset,EH43RQ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95602,-3.25834"
34812,,Slight,1,1,17/01/2012,Tuesday,17,January,12,22,30,230,Unclassified,,"Single carriageway - 2 lanes",60,"Not at or within 20 metres of junction",unset,"\",,"Darkness: no street lighting","Fine (without high winds)",Dry,"Road signing defective or obscured",None,"No overtaking",312900,670230,0,Unset,S.V.N.P.,354394,unset,EH288NR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.91725,-3.39517"
35212,,Slight,2,1,17/01/2012,Tuesday,17,January,12,17,30,230,Unclassified,,"Single carriageway - 2 lanes",30,"Other junction","Give way sign or markings",Unclassified,,"Darkness: street lights present and lit","Fine (without high winds)",Dry,None,None,"No overtaking",318560,675030,519696,Junction,T.V.N.P.,354395,unset,EH46BU,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction",Elsewhere,"55.96135,-3.30608"
35712,,Slight,1,1,18/01/2012,Wednesday,18,January,12,16,40,230,Unclassified,,"Single carriageway - 2 lanes",30,Crossroads,"Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325930,676200,519232,Junction,Pedestrian,354396,unset,EH64BP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97306,-3.18838"
35812,,Slight,1,1,18/01/2012,Wednesday,18,January,12,16,49,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",C,,"Daylight: street lights present",Other,Dry,None,None,"No overtaking",327190,675740,519544,Junction,Bus,354397,unset,EH68HR,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.96913,-3.16807"
36012,,Slight,2,1,18/01/2012,Wednesday,18,January,12,14,10,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",324480,674510,0,Unset,T.V.N.P.,354398,unset,EH41NH,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.95766,-3.21113"
36312,,Slight,1,1,18/01/2012,Wednesday,18,January,12,15,57,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",330010,671740,553958,Segment,Pedestrian,354399,unset,EH164JZ,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.93361,-3.12186"
36712,,Slight,1,1,16/01/2012,Monday,16,January,12,9,55,230,A,7,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",325920,673700,569273,Segment,Pedestrian,354400,unset,EH11QN,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m",Elsewhere,"55.95061,-3.18786"
39612,,Slight,3,2,20/01/2012,Friday,20,January,12,10,26,230,Unclassified,,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328110,670790,568093,Segment,Bus,354401,unset,EH165RE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.92479,-3.15202"
40412,,Slight,2,1,16/01/2012,Monday,16,January,12,15,45,230,A,702,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",324510,672060,522024,Junction,Cyclist,354402,unset,EH104DE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Central refuge - no other controls",Elsewhere,"55.93565,-3.20996"
41512,,Slight,3,2,21/01/2012,Saturday,21,January,12,12,10,230,A,1,"Single carriageway - 2 lanes",30,"Not at or within 20 metres of junction",unset,"\",,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",328270,674150,523383,Junction,M.V.N.P.,354403,unset,EH87AD,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","Pedestrian phase at traffic signal junction","At scene","55.955,-3.15035"
41612,,Slight,1,1,21/01/2012,Saturday,21,January,12,14,18,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: no street lighting","Fine (without high winds)",Dry,None,None,"No overtaking",328420,667870,0,Unset,S.V.N.P.,354404,unset,EH178SE,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.89861,-3.14628"
42112,,Slight,1,1,20/01/2012,Friday,20,January,12,8,25,230,Unclassified,,"Single carriageway - 2 lanes",30,"'T' or staggered junction","Give way sign or markings",Unclassified,,"Daylight: street lights present","Fine (without high winds)",Dry,None,None,"No overtaking",322000,676250,0,Unset,Pedestrian,354405,unset,EH44HP,"No crossing facility within 50m or physical crossing facility not controlled by authorised person","No physical crossing facility within 50m","At scene","55.97288,-3.25135"
